11:50:23.971 [main] INFO  c.q.v.a.RunApplication - [logStarting,50] - Starting RunApplication on cxdpcdeMacBook-Pro.local with PID 7210 (/Users/cxdpc/WorkSpaces/idea_workspace/wedding-manager/target/classes started by cxdpc in /Users/cxdpc/WorkSpaces/idea_workspace/wedding-manager)
11:50:31.278 [main] INFO  o.f.c.i.l.VersionPrinter - [info,49] - Flyway Community Edition 5.2.1 by Boxfuse
11:50:32.006 [main] INFO  c.a.d.p.DruidDataSource - [init,991] - {dataSource-1} inited
11:50:32.008 [main] INFO  o.f.c.i.d.DatabaseFactory - [info,49] - Database: jdbc:mysql://127.0.0.1:3306/hun (MySQL 5.7)
11:50:32.437 [main] INFO  o.f.c.i.c.DbValidate - [info,49] - Successfully validated 4 migrations (execution time 00:00.241s)
11:50:32.449 [main] INFO  o.f.c.i.c.DbMigrate - [info,49] - Current version of schema `hun`: 1.0.0.1.3
11:50:32.450 [main] INFO  o.f.c.i.c.DbMigrate - [info,49] - Schema `hun` is up to date. No migration necessary.
11:50:32.750 [main] INFO  o.q.i.StdSchedulerFactory - [instantiate,1208] - Using default implementation for ThreadExecutor
11:50:32.769 [main] INFO  o.q.c.SchedulerSignalerImpl - [<init>,61] - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
11:50:32.769 [main] INFO  o.q.c.QuartzScheduler - [<init>,229] - Quartz Scheduler v.2.3.0 created.
11:50:32.770 [main] INFO  o.q.s.RAMJobStore - [initialize,155] - RAMJobStore initialized.
11:50:32.771 [main] INFO  o.q.c.QuartzScheduler - [initialize,294] - Scheduler meta-data: Quartz Scheduler (v2.3.0) 'quartzScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

11:50:32.771 [main] INFO  o.q.i.StdSchedulerFactory - [instantiate,1362] - Quartz scheduler 'quartzScheduler' initialized from an externally provided properties instance.
11:50:32.771 [main] INFO  o.q.i.StdSchedulerFactory - [instantiate,1366] - Quartz scheduler version: 2.3.0
11:50:32.771 [main] INFO  o.q.c.QuartzScheduler - [setJobFactory,2287] - JobFactory set to: org.springframework.scheduling.quartz.SpringBeanJobFactory@76055d02
11:50:33.018 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,43] - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2257590f, org.springframework.security.web.context.SecurityContextPersistenceFilter@21cb5648, org.springframework.security.web.header.HeaderWriterFilter@bb3487c, org.springframework.security.web.authentication.logout.LogoutFilter@1722ede1, com.qh.venus.achilles.framework.security.filter.JwtAuthenticationTokenFilter@7d5a0b14, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4cf46574, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5603632c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@c3e5e3c, org.springframework.security.web.session.SessionManagementFilter@335a45a8, org.springframework.security.web.access.ExceptionTranslationFilter@20bf7206, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2688b2be]
11:50:33.222 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - [start,160] - Context refreshed
11:50:33.252 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - [start,163] - Found 1 custom documentation plugin(s)
11:50:33.290 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - [scan,41] - Scanning for api listing references
11:50:33.379 [main] INFO  o.s.s.q.SchedulerFactoryBean - [startScheduler,726] - Starting Quartz Scheduler now
11:50:33.380 [main] INFO  o.q.c.QuartzScheduler - [start,547] - Scheduler quartzScheduler_$_NON_CLUSTERED started.
11:50:33.387 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8080"]
11:50:33.403 [main] INFO  o.a.t.u.n.NioSelectorPool - [log,173] - Using a shared selector for servlet write/read
11:50:33.420 [main] INFO  o.s.b.w.e.t.TomcatWebServer - [start,204] - Tomcat started on port(s): 8080 (http) with context path ''
11:50:33.423 [main] INFO  c.q.v.a.RunApplication - [logStarted,59] - Started RunApplication in 9.953 seconds (JVM running for 10.888)
